uid,first_name,last_name,gender,birth_yr,birth_mo,birth_dy
ds_992099,MITCHELL,GURSAHANI,F,1985,5,20
ds_993713,ANDREW,BLACKWELL,"",1985,4,22
ds_987325,TARA,HOWELL,F,1948,2,21
ds_978944,MATTEUS,LÃ VBORG,F,1984,3,23
ds_923254,LIAM,MACKENZIE,F,1987,3,15
ds_951884,TYRONE,TAY,F,1988,5,10
ds_970736,REUBEN,BARR,F,1982,6,8
ds_967574,DILLON,JARA,"",1991,12,10
ds_989802,CLAIRE,BOZDAR,F,1990,9,11
ds_964599,JORJA,HANNIGAN,F,1991,4,23
ds_925725,BENJAMIN,PEARSON,M,1985,11,27
ds_921231,SOPHIE,PAVLATOU,M,1979,8,13
ds_933175,ETHAN,STRAPP,"",1925,3,16
ds_914490,TIAHNEE,SEKHAR,F,1991,5,10
ds_982167,"",SUKHRAMANI,F,1988,6,24
ds_975474,BEN,ZADRAN,F,2008,6,13
ds_940559,JOSEPHINE,MCCORMICK,F,1992,9,14
ds_928150,ZOE,AARNOUDSE,F,1997,8,2
ds_919462,TIARNA,STRAZZARI,F,1997,1,5
ds_967315,ALEISHA,HARDIN,F,1994,7,16
ds_955595,JADE,CARSTENSEN,F,1948,10,11
ds_936952,RUBY,MOHMAND,M,1995,4,11
ds_995442,ALIA,SARTZETAKIS,F,1993,10,27
ds_938535,CHLOE,CHIOU,M,1990,4,9
ds_918236,AIDEN,AAKRE,F,1989,8,27
ds_947855,MARLEE,VIPOND,F,1985,8,28
ds_958957,ALISA,TIMOTHYSON,M,1991,5,6
ds_974857,SETH,"",F,1982,3,31
ds_933561,"",AATERNIR,F,"","",""
ds_915207,EMIILY,BURNS,F,1987,12,19
ds_948644,ZAC,SIM,F,1989,6,23
ds_912274,AMBROSIA,WACHTSMUTH,"",1986,7,4
ds_948676,CHARLOTTE,"","",1991,2,3
ds_925020,ZARA,EVANSON,M,2008,8,7
ds_951547,KAYNE,UMESH,F,1912,7,5
ds_980188,ALICIA,STEED,F,1995,11,9
ds_959979,CALEB,COOPER,F,1989,4,18
ds_918015,MICHAEL,AAGARI,F,1996,6,20
ds_933695,AMY,"",F,1980,12,16
ds_937547,PHOEBE,QUIRKE,"",1916,3,10
ds_947828,HARRY,BESLAVIC,F,2010,7,6
ds_949933,ERIN,RUTLEDGE,F,1991,7,18
ds_991778,ZACHARY,LEON,F,1997,9,15
ds_948283,MILLIE,TANG,M,1993,6,21
ds_984330,HUGH,SCKEL,F,1988,8,11
ds_925340,STEPHANIE,WHITE,M,1988,4,7
ds_949755,SAM,CHRISTINSON,F,1985,12,22
ds_921089,EMIILY,GUNAWAN,M,1932,12,8
ds_907834,BRETT,SCHWANKE,F,1917,12,7
ds_907343,SARAH,HENRYSON,"",1931,12,14
ds_991786,SHELBY,CHYWAN,F,1999,6,26
ds_989028,KALLIE,CARSON,M,1994,8,9
ds_988693,ANTHONY,HINTON,F,1936,6,7
ds_935671,JINNI,THAMRY,"",1983,12,9
ds_913252,KYLE,STRANGWAY,M,1978,3,6
ds_978012,KODY,POLLARD,"",1916,5,13
ds_947314,BLAIZE,MAXWELL,F,1990,11,30
ds_941306,LAUREN,GHANBARI,F,1997,3,15
ds_902649,DANTE,BEDDOES,F,1928,2,23
ds_920726,JAYDEN,MENG,F,1994,11,17
ds_993702,ANNIKA,VARINDANI,F,1990,11,24
ds_990019,NICHOLAS,BABCOCK,F,1990,12,20
ds_986921,MITCHELL,KAMRK,M,1996,1,27
ds_944570,EVAN,GOOLAGONG,M,"","",""
ds_920989,ISABELLA,CROSBY,F,1907,4,10
ds_992173,NELLIE,MCCALL,F,1998,1,5
ds_947608,STEPHANIE,KNIGHT,"",1983,2,2
ds_974631,JACKSON,GRANADOS,F,1990,10,31
ds_930944,ETHAN,JOHNS,M,1983,6,7
ds_941073,MICHAEL,GREER,F,1920,11,12
ds_996356,NICHOLAS,SCOTTJACKSON,M,1983,7,8
ds_941910,THOMAS,HEIL,F,1995,11,21
ds_903876,DEAKYN,ELLISSON,F,1904,10,10
ds_912323,SARA LOUISE,RUTHERFURD,"",1988,8,20
ds_932310,HANNAH,GHAZIYAH,M,1975,1,23
ds_909749,ABBY,ABAT,F,1964,3,30
ds_921249,JOSHUA,ALVEY,F,2007,9,9
ds_949626,JARED,BULLE,F,1992,10,8
ds_925484,JAMES,AARCY,"",1988,12,17
ds_944484,NICHOLAS,TOI,F,1985,11,7
ds_926847,CAITLIN,HODGES,"",1985,4,20
ds_983765,LACHLAN,SAADIA,"",2008,12,31
ds_980029,JAMILLA,JUNQUEIRA,F,"","",""
ds_962866,KYE,SCIRRI,M,1989,9,1
ds_926001,KALEB,PAULSEN,M,2010,10,20
ds_928599,COOPER,TESNOHLEDEK,M,1914,7,1
ds_914260,CALEB,HEAVEN,F,1989,1,13
ds_934895,LEXIE,ROMAN,F,1993,11,19
ds_910407,BRADLEY,YAM,M,1989,7,8
ds_932207,EMIILY,SCINTO,"",1990,6,28
ds_939198,LAUREN,FORD,M,1995,11,22
ds_978523,BEN,"",M,"","",""
ds_963550,JULIA,NORMAN,M,1988,11,19
ds_971696,LUKE,BEASLEY,F,1993,1,3
ds_937837,NATALIA,LUU,F,"","",""
ds_970740,LUCY,MARK,F,"","",""
ds_967486,JASMINE,MAYER,F,1998,4,11
ds_976212,TREY,HABAZIN,F,1900,9,10
ds_949047,CAMERON,HOLLAND,F,1982,11,17
ds_946790,CHLOE,STRECKFUSS,F,1980,7,28
ds_982330,JOSHUA,HALIM,F,1991,6,13
ds_937261,SARAH,HALILOVIC,"",1986,11,27
ds_959912,IMOGEN,SAVORY,F,1977,8,15
ds_969493,MAX,GOFF,F,1968,1,9
ds_964423,KATELYN,REES,F,"","",""
ds_948883,CHARLOTTE,SCLAFANI,M,1978,7,14
