uid,first_name,last_name,gender,birth_yr,birth_mo,birth_dy
frx_6478813,MITCHELL,GURSABLI,O,1985,05,20
frx_2782104,TA A,HOWELL,F,1948,02,21
frx_3648574,T RA,HOWELL,F,1948,02,21
frx_8336633,TARA,HOWE LL,F,1948,02,21
frx_8008998,LÃ OVOG,MATTEUS,F,1984,03,23
frx_7236528,MATTEUS,LÃ VBORG,"",1984,03,23
frx_4258359,MATTEUS,LÃ VBORG,O,1980,34,33
frx_6179689,MATTEIIS,RIVERS,F,1984,03,23
frx_7052862,TYRONE,TAY,F,1988,05,10
frx_3065890,TYRONE,TAP,F,1988,05,10
frx_8925893,RUBWN,BARR,F,1982,06,08
frx_4282406,CLWRA,BOZDAR,F,1990,09,11
frx_7561179,CHIARRW,BOZDAR,O,1990,09,11
frx_2032837,CLRAE,BOZDAR,F,1990,09,91
frx_7297361,SOPHIE,PAVLATOU,M,1979,08,13
frx_5706166,"",PAVLATOU,"",1979,08,13
frx_5649978,SOPIHE,PAVLATOU,M,1979,08,13
frx_3579042,SOPHJE,PAVLATOU,M,1979,08,13
frx_8955407,ETAN,JTRAPP,"",1925,03,16
frx_6162630,TIAHNEE,SEKHAR,F,1991,05,10
frx_4324685,TIAHNEE,SEKHAR,F,1995,01,10
frx_6177799,TIAHNEE,SEKBAL,F,1991,85,10
frx_7813445,"",TIAHNEE,F,1991,05,10
frx_9658785,TIAHNEE,"",F,1976,06,08
frx_4164780,"",SUKHRA ANI,F,1988,06,24
frx_7149233,"",SUKH RAMANI,F,1988,06,24
frx_7878030,"",SUKHRAMANI,F,1988,0,24
frx_8457892,"",SUKHRMANI,F,1988,06,24
frx_5335402,"",SUKHRAM NJ,F,1988,06,24
frx_2951748,B EN,ZADRAN,F,2008,06,13
frx_3430908,JOSE P HI E,MCCOR MICK,F,1992,0,14
frx_8240804,JOSEP INE,MCCORMICK,F,1992,09,14
frx_6576931,JOE,AARNODZE,F,1997,08,02
frx_2121100,SO,AARNOUDSE,F,1997,08,02
frx_4552736,ZOE,AARNOTSTE,O,1997,08,02
frx_7092887,SOE,AARNOUDZE,F,1997,08,02
frx_6607397,JO,AARNOUDSTE,F,1997,08,02
frx_2539874,TIARNA,STRAZZ ARI,F,1997,01,05
frx_4356532,TIARNA,STRA ZARI,F,1997,01,05
frx_5809113,ALEISHA,HARDIN,F,1994,07,16
frx_6300320,AL EISHA,HARDIN,F,1994,07,16
frx_9468122,AEISHA,HARD IN,F,1994,07,16
frx_6978629,RU BY,MOHMAND,M,1995,04,41
frx_7612710,RUB,MOHM AND,M,1995,04,11
frx_8877362,RUB Y,MOHMAND,M,1995,04,11
frx_4132985,RUBY,MOHM ND,O,1995,04,11
frx_2604972,SARTZETAKIS,ALIA,F,1993,10,27
frx_2771445,ALIA,SARTZETAKIS,F,1993,10,27
frx_3233054,CHLO,CHIOU,M,1990,04,09
frx_7030639,CHLOE,KIO,M,1990,04,09
